beneficiary_id,income_category,household_size,months_present_count,units_consumed_mean,units_consumed_median,units_consumed_mode,units_consumed_std,units_consumed_max,units_consumed_min,electricitybilling_amount_mean,electricitybilling_amount_median,electricitybilling_amount_mode,electricitybilling_amount_std,electricitybilling_amount_max,electricitybilling_amount_min,gas_refill_amt_mean,gas_refill_amt_median,gas_refill_amt_mode,gas_refill_amt_std,gas_refill_amt_max,gas_refill_amt_min,gas_refill_subsidy_amt_mean,gas_refill_subsidy_amt_median,gas_refill_subsidy_amt_mode,gas_refill_subsidy_amt_std,gas_refill_subsidy_amt_max,gas_refill_subsidy_amt_min,mobilerechargeamount_mean,mobilerechargeamount_median,mobilerechargeamount_mode,mobilerechargeamount_std,mobilerechargeamount_max,mobilerechargeamount_min,mobile_recharge_number,data_confidence_score,timestamp,units_per_capita,electricity_bill_per_capita,gas_bill_per_capita,mobile_bill_per_capita,cost_per_unit_electricity,subsidy_ratio,average_recharge_value,total_monthly_utility_spend,electricity_cv,mobile_cv,is_data_rich,missing_electricity,missing_gas,missing_mobile,interaction_elec_hh
BEN_16887,Low,5,5,110.81,116.75,118.85,25.4,149.36,70.68,787.45,710.1,648.55,231.76,978.25,525.21,1039.65,1039.65,1039.65,103.97,1125.65,1006.65,375,375,375,30,375,375,107,103.69,94.13,39.14,187.74,73.36,1,98.68,2022-12-24,22.16,157.49,207.93,21.4,7.11,0.36,107,1934.1,0.23,0.37,1,0,1,2,554.07
BEN_09428,High,4,5,607.13,636.76,663.62,205.52,1198.15,343.56,2842.41,3038.97,3310.13,725.37,4406.23,1180.2,847.15,847.15,847.15,84.71,924.15,808.15,0,0,0,0,0,0,1684,1813.59,1781.37,539.4,2537.84,951.21,4,100.0,2023-08-26,151.78,710.6,211.79,421.0,4.68,0.0,1684,5373.56,0.34,0.32,1,0,1,0,2428.52
BEN_00200,Low,5,5,199.81,189.6,163.13,41.5,304.63,86.02,1246.64,1233.37,1289.96,362.5,2221.86,914.38,1287.2,1287.2,1287.2,128.72,1348.2,1189.2,0,0,0,0,0,0,129,134.8,121.21,50.3,193.66,64.35,1,93.33,2023-05-12,39.96,249.33,257.44,25.8,6.24,0.0,129,2662.84,0.21,0.39,1,0,1,0,999.06
BEN_12448,Low,2,5,80.09,74.81,75.56,19.46,98.35,52.05,641.02,698.0,536.92,68.17,891.25,449.7,1025.86,1025.86,1025.86,102.59,1056.86,957.86,161,161,161,30,161,161,2646,2903.95,3116.94,708.09,4974.48,1334.04,2,100.0,2023-08-15,40.04,320.51,512.93,1323.0,8.0,0.16,2646,4312.87,0.24,0.27,1,0,1,1,160.18
BEN_22823,Medium,4,3,147.11,134.59,154.28,25.17,179.21,79.55,1051.07,1107.44,1081.94,172.21,1819.54,822.11,738.46,738.46,738.46,73.85,832.46,655.46,0,0,0,0,0,0,644,632.96,720.85,197.52,1130.87,417.41,1,92.39,2023-06-15,36.78,262.77,184.61,161.0,7.14,0.0,644,2433.52,0.17,0.31,0,2,0,0,588.45
BEN_26058,Medium,4,4,125.54,136.83,104.75,44.56,241.75,61.71,1074.39,996.06,1217.23,115.05,1461.73,772.53,959.05,959.05,959.05,95.9,1058.05,923.05,268,268,268,30,268,268,344,345.72,299.61,71.24,580.43,264.54,1,84.89,2023-05-13,31.39,268.6,239.76,86.0,8.56,0.28,344,2377.44,0.35,0.21,1,1,2,1,502.17
BEN_10823,High,4,4,238.45,252.32,259.47,92.86,434.95,120.96,2073.99,2229.89,2253.22,307.05,3342.79,1153.01,1041.74,1041.74,1041.74,104.17,1111.74,960.74,0,0,0,0,0,0,1047,987.2,1061.83,370.46,2074.12,519.88,3,84.96,2023-03-27,59.61,518.5,260.43,261.75,8.7,0.0,1047,4162.73,0.39,0.35,1,1,2,1,953.78
BEN_32832,High,2,5,93.43,95.45,81.26,26.41,177.94,72.37,340.29,336.15,332.79,52.28,562.56,169.47,1108.81,1108.81,1108.81,110.88,1143.81,1050.81,210,210,210,30,210,210,1141,1085.37,999.66,452.58,1605.85,873.37,1,95.47,2023-03-08,46.72,170.15,554.4,570.5,3.64,0.19,1141,2590.1,0.28,0.4,1,0,0,1,186.87
BEN_04145,Medium,2,5,177.27,170.24,187.48,54.69,260.83,92.32,2211.01,2411.02,2528.8,647.1,4235.86,1395.4,1155.95,1155.95,1155.95,115.59,1204.95,1121.95,389,389,389,30,389,389,679,708.47,597.61,179.55,878.81,539.51,1,93.56,2023-02-27,88.64,1105.5,577.97,339.5,12.47,0.34,679,4045.95,0.31,0.26,1,0,1,0,354.55
BEN_20292,High,5,3,349.57,364.5,323.09,64.75,556.93,221.13,2470.26,2442.98,2312.73,711.76,4709.31,1006.21,946.15,946.15,946.15,94.61,1013.15,917.15,0,0,0,0,0,0,1696,1666.81,1744.85,549.7,3141.35,872.48,3,91.71,2023-06-28,69.91,494.05,189.23,339.2,7.07,0.0,1696,5112.41,0.19,0.32,0,2,0,1,1747.83
