beneficiary_id,partner_id,gender,age,category,education_level,family_size,dependents_count,marital_status,rural_urban,state,district,annual_family_income,income_source,bpl_status,land_owned_acres,bank_account_status,bank_name,account_type,loan_id,loan_scheme,loan_amount,subsidy_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_end_date,collateral_required,guarantor_present,loan_purpose,sector,business_age,repayment_id,total_emis,emis_paid,emis_pending,on_time_emis,late_payments,missed_payments,average_delay_days,max_delay_days,current_outstanding,default_status,last_payment_date,risk_score
BEN4036,CP14,Male,26,ST,8th,3,2,Married,Rural,Rajasthan,Bikaner,67955,Trading,Yes,0.9,Yes,IndianBank,JanDhan,LN4036_1,HousingLoan,203865,55043,7.5,231,1670,30-12-2022,31-10-2024,Yes,Yes,GeneralPurpose,Others,0,RP4036_1,231,231,0,231,0,0,11,12,0,No,15-09-2025,32.47498651
BEN2222,CP03,Male,50,OBC,8th,7,5,Married,Urban,Gujarat,Rajkot,178865,Farming,No,0,Yes,Canara,Savings,LN2222_1,HousingLoan,218663,32799,6.5,229,1668,16-09-2025,14-10-2025,Yes,Yes,GeneralPurpose,Others,0,RP2222_1,229,229,0,229,0,0,33,56,0,No,16-10-2025,25.68335309
BEN3991,CP01,Male,60,General,10th,5,3,Married,Rural,Odisha,Cuttack,132218,Labour,No,0.1,Yes,ICICI,JanDhan,LN3991_1,HousingLoan,396654,67431,8.4,227,3493,01-10-2023,13-10-2024,Yes,Yes,GeneralPurpose,Others,0,RP3991_1,227,227,0,227,0,0,11,15,0,No,20-10-2025,27.34999773
BEN3463,CP04,Female,24,ST,8th,7,5,Married,Rural,MP,Gwalior,40586,BeautyParlor,Yes,0.2,Yes,HDFC,Savings,LN3463_2,HousingLoan,121758,36527,7.4,221,1010,15-08-2024,21-12-2024,No,No,GeneralPurpose,Others,0,RP3463_2,221,221,0,221,0,0,2,5,0,No,09-09-2025,38.58331691
BEN4394,CP15,Female,49,OBC,5th,5,3,Married,Urban,MP,Bhopal,140487,Labour,No,0,Yes,IndianBank,JanDhan,LN4394_2,HousingLoan,421461,75862,7.8,221,3599,03-03-2024,11-05-2025,Yes,Yes,GeneralPurpose,Others,0,RP4394_2,221,221,0,221,0,0,3,7,0,No,23-11-2025,30.14998837
BEN2081,CP04,Female,29,General,5th,2,1,Married,Rural,Chhattisgarh,Korba,59933,ForestProduct,Yes,0.6,Yes,IndianBank,Savings,LN2081_1,HousingLoan,179799,44949,6.6,219,1414,23-12-2023,20-09-2024,No,No,GeneralPurpose,Others,0,RP2081_1,219,219,0,219,0,0,18,40,0,No,19-08-2024,35.99997914
BEN4038,CP10,Male,27,General,10th,5,4,Married,Urban,Bihar,Patna,79225,BeautyParlor,Yes,0,Yes,ICICI,Savings,LN4038_2,HousingLoan,237675,47535,8.2,217,2104,01-03-2025,24-03-2025,Yes,Yes,GeneralPurpose,Others,0,RP4038_2,217,217,0,217,0,0,13,18,0,No,27-10-2025,34.41666667
BEN1136,CP06,Male,34,SC,8th,6,2,Married,Rural,Chhattisgarh,Bastar,57806,Carpentry,Yes,2.7,Yes,UnionBank,Savings,LN1136_2,HousingLoan,173418,46822,6.8,211,1410,21-11-2023,16-07-2024,No,Yes,GeneralPurpose,Others,0,RP1136_2,211,211,0,211,0,0,11,3,0,No,11-10-2025,33.18330854
BEN4850,CP08,Female,63,General,10th,8,3,Married,Rural,Bihar,Gaya,104981,Agriculture,No,0.1,Yes,SBI,Savings,LN4850_1,HousingLoan,314943,62988,7,211,2598,29-11-2024,13-02-2025,Yes,No,GeneralPurpose,Others,0,RP4850_1,211,211,0,211,0,0,22,70,0,No,27-07-2025,31.91665714
BEN4142,CP16,Male,26,General,8th,4,1,Married,Rural,Gujarat,Rajkot,62989,Dairy,Yes,0.4,Yes,BOI,JanDhan,LN4142_1,HousingLoan,188967,41572,8.5,207,1742,03-03-2023,21-07-2023,No,Yes,GeneralPurpose,Others,0,RP4142_1,207,207,0,207,0,0,9,26,0,No,18-10-2025,33.64164709
BEN4965,CP01,Male,51,General,10th,6,2,Married,Urban,Bihar,Darbhanga,146030,Dairy,No,0,Yes,HDFC,Savings,LN4965_1,HousingLoan,438090,65713,7.6,200,3869,04-01-2024,17-01-2025,Yes,Yes,GeneralPurpose,Others,0,RP4965_1,200,200,0,200,0,0,33,68,0,No,29-11-2024,28.91666096
BEN1538,CP06,Female,49,OBC,8th,6,3,Married,Rural,Delhi,North,107159,Dairy,No,1.2,Yes,Canara,JanDhan,LN1538_1,HousingLoan,321477,64295,7.3,196,2812,25-11-2024,12-09-2025,Yes,No,GeneralPurpose,Others,0,RP1538_1,196,196,0,196,0,0,6,0,0,No,20-11-2025,29.04166045
BEN0975,CP14,Male,33,ST,10th,5,3,Married,Rural,Jharkhand,Bokaro,86018,Labour,Yes,2.5,Yes,BOI,Savings,LN0975_1,HousingLoan,258054,69674,7.3,190,2294,29-09-2023,10-05-2025,Yes,Yes,GeneralPurpose,Others,0,RP0975_1,190,190,0,190,0,0,42,88,0,No,23-09-2024,32.39165543
BEN3931,CP10,Male,30,General,10th,5,4,Married,Urban,Rajasthan,Bikaner,168416,FoodBusiness,No,0,Yes,SBI,Savings,LN3931_2,HousingLoan,505248,75787,7.1,189,4448,01-06-2024,11-06-2024,Yes,No,GeneralPurpose,Others,0,RP3931_2,189,189,0,189,0,0,22,58,0,No,27-01-2025,30.70833135
BEN4743,CP19,Male,61,ST,5th,6,5,Married,Rural,Chhattisgarh,Bastar,70993,Farming,Yes,0.4,Yes,IndianBank,JanDhan,LN4743_1,HousingLoan,212979,57504,8.2,178,2071,24-07-2025,12-09-2025,Yes,Yes,GeneralPurpose,Others,0,RP4743_1,178,178,0,178,0,0,22,85,0,No,23-08-2025,36.76665892
BEN3497,CP19,Male,59,General,8th,7,3,Married,Rural,Maharashtra,Mumbai,75505,Agriculture,Yes,0,Yes,Canara,Savings,LN3497_1,HousingLoan,226515,49833,7.8,178,2151,29-03-2023,10-06-2024,Yes,Yes,GeneralPurpose,Others,0,RP3497_1,178,178,0,178,0,0,12,15,0,No,14-10-2025,34.34999338
BEN4262,CP17,Male,53,SC,5th,2,1,Married,Rural,Maharashtra,Nashik,78492,Labour,Yes,0.3,Yes,Axis,JanDhan,LN4262_1,HousingLoan,235476,63578,7,178,2130,18-06-2023,11-07-2023,Yes,Yes,GeneralPurpose,Others,0,RP4262_1,178,178,0,178,0,0,0,7,0,No,05-09-2025,33.26665563
BEN3811,CP12,Female,31,ST,5th,3,1,Married,Rural,UP,Ballia,64217,Labour,Yes,0.3,Yes,BOI,JanDhan,LN3811_1,HousingLoan,192651,57795,6.9,176,1743,20-03-2025,14-10-2025,No,Yes,GeneralPurpose,Others,0,RP3811_1,176,176,0,176,0,0,6,24,0,No,15-11-2025,34.37499221
BEN2847,CP20,Female,39,SC,10th,6,1,Married,Rural,Delhi,South,81405,FoodBusiness,Yes,0.8,Yes,HDFC,JanDhan,LN2847_2,HousingLoan,244215,73264,7,172,2253,18-11-2025,20-11-2025,Yes,Yes,GeneralPurpose,Others,0,RP2847_2,172,172,0,172,0,0,0,0,0,No,,32.41665643
BEN0728,CP09,Female,29,SC,8th,8,0,Married,Rural,Gujarat,Gandhinagar,85708,Labour,Yes,0.6,Yes,UnionBank,JanDhan,LN0728_1,HousingLoan,257124,77137,8.3,169,2584,02-12-2023,18-01-2025,Yes,Yes,GeneralPurpose,Others,0,RP0728_1,169,169,0,169,0,0,24,71,0,No,29-06-2024,32.95832944
BEN1844,CP16,Male,41,SC,8th,6,1,Married,Rural,Bihar,Darbhanga,95881,Tailoring,Yes,0.7,Yes,ICICI,JanDhan,LN1844_2,HousingLoan,287643,77663,8.5,164,2971,07-02-2024,23-07-2024,Yes,No,GeneralPurpose,Others,0,RP1844_2,164,164,0,164,0,0,42,37,0,No,03-11-2024,34.89165606
BEN3879,CP13,Male,44,ST,12th,3,2,Married,Rural,Maharashtra,Aurangabad,131058,Coaching,No,3.9,Yes,UnionBank,Savings,LN3879_2,HousingLoan,273521,60174,7.5,161,2699,07-11-2023,28-02-2025,Yes,Yes,GeneralPurpose,Others,0,RP3879_2,161,161,0,161,0,0,39,41,0,No,04-06-2024,26.22498867
BEN3163,CP11,Male,30,OBC,8th,4,0,Married,Urban,Bihar,Muzaffarpur,82219,BeautyParlor,Yes,0,Yes,IndianBank,JanDhan,LN3163_1,HousingLoan,246657,49331,7.8,151,2569,01-02-2025,09-03-2025,Yes,No,GeneralPurpose,Others,0,RP3163_1,151,151,0,151,0,0,18,55,0,No,01-07-2025,36.24999189
BEN3144,CP12,Female,57,OBC,8th,4,3,Married,Rural,Rajasthan,Jodhpur,77476,Coaching,Yes,0.4,Yes,Axis,JanDhan,LN3144_2,HousingLoan,232428,58107,8.2,151,2472,13-10-2025,23-10-2025,Yes,No,GeneralPurpose,Others,0,RP3144_2,151,151,0,151,0,0,22,82,0,No,12-11-2025,34.66666667
BEN1590,CP04,Male,42,OBC,8th,8,1,Married,Urban,UP,Lucknow,87631,Agriculture,Yes,0,Yes,PNB,Savings,LN1590_1,HousingLoan,262893,52578,7.2,146,2708,30-03-2025,26-08-2025,Yes,Yes,GeneralPurpose,Others,0,RP1590_1,146,146,0,146,0,0,22,41,0,No,28-06-2025,33.99998859
BEN1351,CP07,Male,47,SC,8th,2,0,Married,Urban,UP,Agra,174191,Coaching,No,0,Yes,BankOfBaroda,JanDhan,LN1351_2,HousingLoan,522573,104514,6.5,139,5360,13-12-2023,23-05-2024,Yes,Yes,GeneralPurpose,Others,0,RP1351_2,139,139,0,139,0,0,43,42,0,No,10-07-2024,28.70832759
BEN1962,CP08,Male,62,ST,8th,8,3,Married,Rural,Odisha,Koraput,73052,ForestProduct,Yes,2.7,Yes,SBI,Savings,LN1962_1,HousingLoan,219156,59172,7.3,137,2362,09-03-2024,09-05-2025,Yes,Yes,GeneralPurpose,Others,0,RP1962_1,137,137,0,137,0,0,10,10,0,No,30-10-2025,35.39166393
BEN0655,CP18,Female,22,ST,8th,3,2,Married,Rural,MP,Bhopal,70105,Labour,Yes,0.3,Yes,BankOfBaroda,Savings,LN0655_2,HousingLoan,210315,63094,6.8,136,2222,14-08-2023,09-05-2024,Yes,No,GeneralPurpose,Others,0,RP0655_2,136,136,0,136,0,0,7,10,0,No,01-11-2025,37.33332145
BEN1381,CP09,Female,28,OBC,5th,3,0,Married,Rural,UP,Varanasi,55657,Agriculture,Yes,0.1,Yes,SBI,Savings,LN1381_2,HousingLoan,166971,41742,7.8,133,1879,26-01-2023,18-04-2023,No,Yes,GeneralPurpose,Others,0,RP1381_2,133,133,0,133,0,0,17,65,0,No,16-11-2024,34.49997754
BEN2389,CP18,Female,50,OBC,10th,3,1,Married,Rural,Gujarat,Vadodara,85761,Farming,Yes,2.8,Yes,Axis,JanDhan,LN2389_1,HousingLoan,257283,64320,8.2,130,2992,07-03-2023,21-01-2024,Yes,Yes,GeneralPurpose,Others,0,RP2389_1,130,130,0,130,0,0,29,62,0,No,26-12-2024,32.66665209
BEN2045,CP08,Female,33,SC,12th,6,3,Married,Urban,Jharkhand,Jamshedpur,156636,Labour,No,0,Yes,PNB,Savings,LN2045_1,HousingLoan,469908,108078,7.6,126,5424,12-09-2023,28-05-2025,Yes,Yes,GeneralPurpose,Others,0,RP2045_1,126,126,0,126,0,0,1,1,0,No,01-10-2025,28.31665773
BEN2274,CP14,Female,46,General,10th,6,3,Married,Urban,Odisha,Rourkela,137264,FoodBusiness,No,0,Yes,Canara,Savings,LN2274_1,HousingLoan,411792,74122,6.7,124,4610,11-11-2023,22-05-2024,Yes,No,GeneralPurpose,Others,0,RP2274_1,124,124,0,124,0,0,11,20,0,No,01-10-2025,30.69165987
BEN0105,CP11,Male,45,General,10th,3,2,Married,Rural,Delhi,North,112700,Labour,No,0.9,Yes,HDFC,Savings,LN0105_2,HousingLoan,338100,57476,7.1,122,3898,21-07-2023,27-02-2024,Yes,Yes,GeneralPurpose,Others,0,RP0105_2,122,122,0,122,0,0,4,15,0,No,07-11-2025,26.80831854
BEN3138,CP13,Female,37,General,5th,2,1,Married,Rural,Jharkhand,Ranchi,83444,Manufacturing,Yes,1.1,Yes,SBI,JanDhan,LN3138_2,HousingLoan,250332,62583,7,120,2906,10-07-2025,02-10-2025,Yes,Yes,GeneralPurpose,Others,0,RP3138_2,120,120,0,120,0,0,22,82,0,No,09-08-2025,33.16666667
BEN3120,CP02,Male,20,OBC,5th,5,2,Married,Rural,UP,Varanasi,38921,Carpentry,Yes,3.4,Yes,SBI,Savings,LN3120_1,StartupLoan,116763,25687,6.3,83,1739,20-02-2023,04-02-2024,No,Yes,GeneralPurpose,Others,0,RP3120_1,83,83,0,83,0,0,1,4,0,No,07-10-2025,36.72496317
BEN0972,CP16,Male,56,OBC,8th,3,2,Married,Rural,Delhi,North,86215,Agriculture,Yes,0.6,Yes,SBI,Savings,LN0972_1,EducationLoan,177806,39117,3.5,83,2415,04-02-2025,16-05-2025,No,No,CollegeFee,Education,0,RP0972_1,83,83,0,83,0,0,24,58,0,No,04-07-2025,33.55832433
BEN0598,CP07,Female,29,OBC,8th,3,1,Married,Rural,Chhattisgarh,Bilaspur,53996,ForestProduct,Yes,0.4,Yes,HDFC,Savings,LN0598_2,StartupLoan,161988,40497,5.7,83,2366,30-01-2024,22-03-2025,No,Yes,GeneralPurpose,Others,0,RP0598_2,83,83,0,83,0,0,2,28,0,No,21-09-2025,32.625
BEN1026,CP16,Female,43,SC,10th,7,2,Married,Rural,UP,Kanpur,73164,Carpentry,Yes,0.1,Yes,PNB,JanDhan,LN1026_2,StartupLoan,219492,65847,6.2,83,3258,31-03-2025,19-06-2025,Yes,Yes,GeneralPurpose,Others,0,RP1026_2,83,83,0,83,0,0,9,5,0,No,27-10-2025,32.08331967
BEN4774,CP02,Male,23,OBC,10th,4,1,Married,Urban,Gujarat,Rajkot,135576,Tailoring,Yes,0,Yes,Canara,JanDhan,LN4774_2,StartupLoan,406728,81345,7.2,82,6294,26-04-2023,30-04-2023,Yes,Yes,GeneralPurpose,Others,0,RP4774_2,82,82,0,82,0,0,1,13,0,No,11-11-2025,36.99999262
