Feature,Chi2_Score,P_Value
current_outstanding,338855885.9,0
loan_amount,31507402.08,0
annual_family_income,11419919.63,0
subsidy_amount,9656454.773,0
emis_pending,118696.6502,0
emi_amount,56543.30436,0
max_delay_days,50577.17389,0
on_time_emis,44451.12375,0
emis_paid,28850.3679,0
average_delay_days,25343.48255,0
tenure_months,20082.75065,0
total_emis,20082.75065,0
missed_payments,18808.99315,0
default_status,2612.448783,0
repayment_id,2420.644076,0
late_payments,1358.614982,6.50E-293
last_payment_date_month,609.0954244,1.67E-130
age,334.5396794,3.82E-71
bpl_status,181.961683,2.83E-38
collateral_required,138.3373672,6.41E-29
business_age,71.28394781,1.22E-14
interest_rate,56.64137669,1.47E-11
marital_status,53.69097846,6.11E-11
sector,31.63917024,2.27E-06
land_owned_acres,31.1882099,2.80E-06
loan_scheme,27.43695502,1.62E-05
loan_purpose,22.58880448,0.000152972
rural_urban,16.88849449,0.002031783
guarantor_present,16.35875411,0.002573682
loan_start_date_month,14.09826783,0.00698794
loan_end_date_year,8.842335487,0.065163453
loan_end_date_month,7.813375966,0.098658705
education_level,7.084977751,0.131465108
income_source,6.653611989,0.155365267
district,4.79586062,0.308891933
account_type,4.763203292,0.312468321
state,3.732252058,0.443452437
family_size,3.505684894,0.47701447
category,2.404570801,0.661801405
dependents_count,1.722408908,0.786643106
gender,0.944482138,0.918094188
bank_name,0.712690077,0.949754804
loan_start_date_year,0.182790942,0.9960694
last_payment_date_year,0.080695045,0.999207605
bank_account_status,,
